iter	Passed	Remaining
0	124	124703
1	128	64278
2	132	44108
3	136	34025
4	140	27976
5	144	23870
6	146	20776
7	149	18485
8	151	16682
9	153	15211
10	155	14018
11	157	13001
12	159	12128
13	161	11382
14	163	10717
15	164	10139
16	166	9626
17	168	9169
18	169	8748
19	170	8376
20	172	8040
21	174	7740
22	175	7460
23	177	7212
24	178	6963
25	179	6731
26	180	6517
27	181	6317
28	183	6132
29	184	5955
30	185	5789
31	186	5631
32	187	5485
33	188	5357
34	190	5245
35	191	5123
36	192	5009
37	193	4899
38	194	4793
39	195	4691
40	196	4595
41	197	4503
42	198	4413
43	199	4329
44	200	4252
45	201	4177
46	202	4105
47	203	4033
48	204	3963
49	205	3898
50	206	3834
51	206	3772
52	207	3713
53	208	3655
54	209	3599
55	210	3546
56	211	3495
57	212	3446
58	213	3397
59	213	3351
60	214	3308
61	215	3267
62	217	3227
63	217	3186
64	218	3145
65	219	3106
66	220	3068
67	220	3026
68	221	2991
69	222	2957
70	223	2925
71	224	2892
72	225	2859
73	226	2828
74	226	2798
75	227	2769
76	228	2740
77	229	2713
78	230	2689
79	231	2667
80	232	2641
81	233	2616
82	234	2592
83	235	2568
84	236	2542
85	237	2519
86	237	2494
87	238	2472
88	239	2451
89	240	2430
90	241	2410
91	242	2390
92	243	2369
93	243	2350
94	244	2332
95	246	2316
96	247	2301
97	248	2283
98	248	2265
99	249	2248
100	250	2231
101	251	2211
102	252	2194
103	253	2180
104	254	2165
105	254	2149
106	255	2133
107	256	2121
108	257	2107
109	258	2092
110	259	2079
111	260	2067
112	261	2056
113	262	2042
114	263	2029
115	264	2014
116	265	2000
117	266	1988
118	266	1974
119	267	1962
120	268	1950
121	269	1938
122	269	1923
123	270	1912
124	271	1900
125	272	1888
126	273	1877
127	273	1865
128	274	1855
129	275	1846
130	276	1836
131	277	1825
132	278	1814
133	279	1804
134	279	1794
135	280	1784
136	281	1774
137	282	1764
138	283	1755
139	284	1745
140	285	1736
141	285	1727
142	286	1718
143	287	1709
144	288	1700
145	289	1693
146	290	1687
147	291	1679
148	292	1670
149	293	1662
150	294	1654
151	295	1647
152	296	1639
153	296	1631
154	297	1623
155	298	1616
156	299	1608
157	300	1601
158	301	1594
159	302	1587
160	303	1580
161	304	1574
162	305	1569
163	306	1562
164	307	1555
165	308	1548
166	309	1541
167	309	1535
168	310	1528
169	311	1521
170	312	1515
171	313	1508
172	314	1501
173	315	1495
174	315	1489
175	316	1483
176	317	1477
177	318	1471
178	319	1466
179	320	1461
180	321	1454
181	322	1447
182	322	1441
183	323	1435
184	324	1430
185	325	1424
186	326	1418
187	327	1412
188	327	1406
189	328	1401
190	329	1395
191	330	1389
192	331	1384
193	331	1379
194	332	1373
195	333	1370
196	335	1365
197	336	1361
198	336	1356
199	337	1350
200	338	1345
201	339	1341
202	340	1336
203	341	1330
204	341	1325
205	342	1321
206	343	1316
207	344	1311
208	345	1306
209	346	1302
210	347	1297
211	347	1293
212	349	1289
213	350	1287
214	351	1283
215	352	1279
216	353	1274
217	353	1269
218	354	1265
219	355	1261
220	356	1257
221	357	1252
222	358	1248
223	359	1244
224	359	1239
225	360	1235
226	361	1232
227	363	1229
228	364	1226
229	365	1224
230	366	1221
231	367	1217
232	368	1213
233	369	1210
234	370	1206
235	371	1202
236	372	1198
237	373	1194
238	374	1191
239	374	1187
240	375	1183
241	376	1180
242	377	1176
243	378	1173
244	379	1170
245	381	1170
246	383	1170
247	385	1167
248	386	1165
249	387	1163
250	389	1162
251	391	1160
252	392	1160
253	394	1159
254	395	1156
255	399	1160
256	402	1163
257	403	1161
258	405	1159
259	407	1160
260	408	1158
261	410	1156
262	411	1153
263	413	1152
264	417	1157
265	418	1155
266	420	1153
267	421	1150
268	422	1148
269	423	1145
270	424	1143
271	425	1140
272	426	1136
